OTU	KW_Statistic	DF	P_value	Test	Taxonomy	p.value.fdr	p.value.hochberg	p.value.bonferonni
Zotu178	13.8107941139388	5	0.0168570136632309	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	0.236196509093035	0.236196509093035	1
Zotu179	1.50124898357453	5	0.912925637172872	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.941380462227611	0.941380462227611	1
Zotu18	2.80319254111552	5	0.730295946279346	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.820013183044776	0.820013183044776	1
Zotu180	11.0600403516357	5	0.0502024700002025	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae,g:uncultured_bacterium,s:uncultured_bacterium	0.303508333859092	0.303508333859092	1
Zotu181	9.29290623784202	5	0.0979361649383755	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:GCA_900066575,s:uncultured_bacterium	0.402674537187101	0.402674537187101	1
Zotu182	10.0112927229159	5	0.0749159034751283	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae,g:uncultured_bacterium,s:uncultured_bacterium	0.355477454338159	0.355477454338159	1
Zotu183	3.51283434212419	5	0.621446524496818	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.760681203161059	0.760681203161059	1
Zotu184	8.81913516693628	5	0.116499377194123	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.439084677968989	0.439084677968989	1
Zotu185	15.016832439601	5	0.0102906571251419	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae,g:uncultured_bacterium,s:uncultured_bacterium	0.217468403016493	0.217468403016493	1
Zotu186	4.34317864005025	5	0.501135597257498	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.717370788862596	0.717370788862596	1
Zotu187	13.5670010521613	5	0.0186069080427648	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.240586279587965	0.240586279587965	1
Zotu188	1.50866457331924	5	0.912067764326444	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcus_1	0.941310838225992	0.941310838225992	1
